basket_id,timestamp,hour,day_of_week,is_weekend,month,purchase_type,store_id,store_name,store_format,product_channel,in_store_product_share,product_count,total_items,unique_products,avg_product_price,median_product_price,max_product_price,min_product_price,total_product_value,basket_savings,basket_value_gross,basket_value_net
BASKET-043,2021-02-14 14:50:31.071,14,6,1,2,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,2,2.0,2,0.895,0.895,0.9,0.89,1.79,6.39,23.34,16.95
BASKET-042,2021-02-19 19:57:32.725,19,4,0,2,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,6,7.0,6,2.1067,1.92,5.0,0.45,14.59,5.69,14.59,8.9
BASKET-041,2021-02-21 14:21:27.971,14,6,1,2,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,7,7.0,7,1.45,1.0,3.5,0.43,10.15,0.41,10.15,9.74
BASKET-040,2021-03-01 18:21:42.385,18,0,0,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,9,12.0,9,2.1911,1.1,5.0,0.37,27.82,5.2,27.82,22.62
BASKET-039,2021-03-07 14:07:17.158,14,6,1,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,19,21.0,19,2.1774,2.0,5.0,0.37,46.37,7.07,46.37,39.3
BASKET-038,2021-03-08 19:42:17.554,19,0,0,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,15,16.0,15,1.6087,1.35,3.9,0.48,24.61,0.85,24.61,23.76
BASKET-037,2021-03-10 19:37:04.829,19,2,0,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,9,9.0,9,1.9333,2.0,3.0,1.0,17.4,1.95,17.4,15.45
BASKET-036,2021-03-14 15:32:41.492,15,6,1,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,18,21.0,18,1.4122,1.175,3.2,0.37,28.54,3.34,27.62,24.28
BASKET-035,2021-03-15 19:02:49.746,19,0,0,3,IN_STORE,6070,BERMONDSEY PARK EXP,Express,IN_STORE,1.0,6,6.0,6,1.8667,1.925,2.3,1.0,11.2,0.0,11.2,11.2
BASKET-034,2021-03-18 18:22:24.758,18,3,0,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,7,7.0,7,1.4286,0.89,3.0,0.43,10.0,2.0,10.0,8.0
BASKET-033,2021-03-21 16:14:03.410,16,6,1,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,5,5.0,5,0.99,0.65,2.0,0.37,4.95,0.5,4.95,4.45
BASKET-032,2021-03-22 11:31:36.710,11,0,0,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,6,6.0,6,2.6517,2.3,5.5,0.41,15.91,2.17,15.91,13.74
BASKET-031,2021-03-27 16:36:21.417,16,5,1,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,17,20.0,17,1.1071,0.89,3.5,0.37,21.92,2.17,21.92,19.75
BASKET-030,2021-03-31 19:30:18.820,19,2,0,3,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,13,16.0,13,2.1185,2.3,3.5,0.79,36.54,4.45,36.54,32.09
BASKET-029,2021-03-31 19:37:45.163,19,2,0,3,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.2,1.2,1.2,1.2,1.2,0.0,35.01,35.01
BASKET-028,2021-04-04 17:17:09.433,17,6,1,4,IN_STORE,4425,DUNFERMLINE FRE STAON,SuperStore,IN_STORE,1.0,15,15.0,15,2.286,1.35,5.25,0.7,34.29,2.25,34.29,32.04
BASKET-027,2021-04-04 17:22:50.413,17,6,1,4,IN_STORE,4270,DUNFERMLINE PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.23,1.23,1.23,1.23,1.23,0.0,16.0,16.0
BASKET-026,2021-04-07 18:39:40.038,18,2,0,4,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,24,25.0,24,1.4546,1.225,3.5,0.37,35.28,2.45,35.28,32.83
BASKET-025,2021-04-12 19:29:12.373,19,0,0,4,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,9,9.0,9,1.3944,1.0,3.25,0.37,12.55,0.61,12.55,11.94
BASKET-024,2021-04-15 18:59:19.115,18,3,0,4,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,9,10.0,9,1.3822,1.25,2.75,0.37,14.44,2.46,14.44,11.98
BASKET-023,2021-04-17 13:16:54.428,13,5,1,4,IN_STORE,3720,SOUTHWARK PFS,Petrol,IN_STORE,1.0,1,1.0,1,1.2,1.2,1.2,1.2,1.2,0.0,42.04,42.04
BASKET-022,2021-04-19 19:17:10.189,19,0,0,4,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,8,8.0,8,1.6812,1.82,2.83,0.37,13.45,0.0,13.45,13.45
