basket_id,timestamp,hour,day_of_week,is_weekend,month,purchase_type,store_id,store_name,store_format,product_channel,in_store_product_share,product_count,total_items,unique_products,avg_product_price,median_product_price,max_product_price,min_product_price,total_product_value,basket_savings,basket_value_gross,basket_value_net
PROD-001,2026-08-30 19:49:00,19,6,0,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,19,21,18,2.1232,1.876,3.7765,0.2819,34.8512,3.7113,34.85,31.14
PROD-002,2026-08-31 15:41:00,15,0,1,8,IN_STORE,3720,SOUTHWARK PFS,Petrol,ONLINE,0.0,18,18,17,1.9987,1.6315,4.9903,0.9221,36.552,5.1531,36.55,31.4
PROD-003,2026-08-30 19:31:00,19,6,0,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,1,2,1,1.7551,1.3535,1.4645,1.327,3.0862,0.4717,3.09,2.62
PROD-004,2026-08-28 18:08:00,18,4,1,8,IN_STORE,6070,BERMONDSEY PARK EXP,Express,IN_STORE,1.0,33,49,31,3.2692,2.1103,10.0934,0.2592,167.1798,11.4863,167.18,155.69
PROD-005,2026-08-15 15:59:00,15,5,1,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,24,30,23,1.5553,1.4942,4.122,0.4483,41.616,1.3601,41.62,40.26
PROD-006,2026-08-06 13:26:00,13,3,1,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,3,1,1,1.3856,1.3394,1.3852,1.4023,1.3157,0.0679,1.32,2.0
PROD-007,2026-08-20 19:02:00,19,3,0,8,IN_STORE,6070,BERMONDSEY PARK EXP,Express,ONLINE,0.0,19,21,18,2.0913,1.8627,3.9279,0.2768,37.8173,3.0745,37.82,34.75
PROD-008,2026-08-07 19:12:00,19,4,0,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,13,13,12,1.8255,1.347,4.3807,0.5002,19.6539,2.9952,19.65,16.65
PROD-009,2026-08-15 14:24:00,14,5,1,8,IN_STORE,3189,SOUTHWARK,SuperStore,IN_STORE,1.0,11,17,13,3.855,2.7127,10.1989,1.0791,66.3524,4.8413,66.35,61.51
PROD-010,2026-08-21 16:03:00,16,4,1,8,IN_STORE,3189,SOUTHWARK,SuperStore,ONLINE,0.0,7,7,7,1.183,1.1445,2.6279,0.5048,7.6929,0.984,7.69,6.71
